cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
217,Gopalganj-3,BNP,45.96,42.74,0.0,45.96,0.0,40.0,36.41,38.07,42.62,41.94,rural
218,Madaripur-1,BNP,36.3,55.2,0.0,36.3,0.0,41.0,35.04,36.9,3.56,3.52,rural
219,Madaripur-2,Independent,37.83,42.44,0.0,33.4,0.0,41.0,34.24,35.87,16.8,16.55,rural
220,Madaripur-3,BNP,49.35,50.52,42.5,49.35,0.0,40.0,36.48,38.38,10.11,9.98,rural
221,Shariatpur-1,BNP,46.5,42.25,0.0,46.5,0.22,40.0,36.1,38.02,3.22,3.18,rural
222,Shariatpur-2,BNP,62.12,50.7,32.85,62.12,0.0,40.0,36.17,38.17,3.02,3.01,rural
223,Shariatpur-3,BNP,57.22,55.48,36.46,57.22,0.0,39.41,37.62,39.62,3.94,3.9,rural
224,Sunamganj-1,BNP,63.35,50.91,36.19,63.35,0.0,39.0,39.84,41.93,13.34,12.87,rural
225,Sunamganj-2,BNP,60.84,53.54,38.41,60.84,0.0,39.0,38.23,39.99,32.84,32.82,rural
226,Sunamganj-3,BNP,61.03,42.83,0.0,61.03,0.0,39.0,39.23,41.25,9.78,9.78,rural
227,Sunamganj-4,BNP,48.33,54.7,36.9,48.33,0.0,38.0,41.06,42.98,10.56,10.38,rural
228,Sunamganj-5,BNP,59.22,48.79,39.14,59.22,0.0,38.0,40.94,42.78,5.3,5.24,rural
229,Sylhet-1,BNP,56.24,46.42,41.84,56.24,0.0,41.0,34.64,36.42,10.79,9.61,city
230,Sylhet-2,BNP,74.06,43.28,0.0,74.06,0.0,39.0,38.58,40.46,6.08,6.08,rural
231,Sylhet-3,BNP,58.22,47.88,0.0,58.22,0.0,,,,,,rural
232,Sylhet-4,BNP,71.29,51.26,26.72,71.29,0.0,38.0,42.81,44.67,7.47,6.49,rural
233,Sylhet-5,KM,37.75,47.98,0.0,0.0,0.0,38.0,40.47,42.37,6.04,5.91,rural
234,Sylhet-6,BNP,46.71,46.54,42.04,46.71,0.0,39.0,37.06,38.97,3.89,3.89,rural
235,Moulvibazar-1,BNP,52.65,55.93,42.98,52.65,0.0,39.0,37.71,39.72,21.12,14.9,rural
236,Moulvibazar-2,BNP,41.95,54.28,31.68,41.95,0.0,40.0,36.59,38.58,19.5,14.62,rural
237,Moulvibazar-3,BNP,65.63,49.37,31.85,65.63,0.0,41.0,34.66,36.61,17.98,16.11,rural
238,Moulvibazar-4,BNP,65.52,53.59,0.0,65.52,1.65,40.0,36.32,38.28,35.49,24.26,rural
239,Habiganj-1,BNP,53.75,44.67,0.0,53.75,0.0,39.0,38.05,40.12,14.93,13.64,rural
240,Habiganj-2,BNP,64.93,49.51,0.0,64.93,0.0,39.0,38.75,40.72,18.96,18.87,rural
241,Habiganj-3,BNP,68.38,49.71,21.54,68.38,0.0,39.0,37.82,39.84,11.66,11.54,rural
242,Habiganj-4,BNP,62.42,54.6,0.0,62.42,0.0,39.0,39.19,41.11,18.5,12.28,rural
243,Brahmanbaria-1,BNP,46.49,53.25,16.38,46.49,0.0,39.0,39.72,41.68,15.68,15.67,rural
244,Brahmanbaria-2,Independent,55.41,47.55,0.0,0.0,8.0,39.0,39.4,41.45,7.11,7.09,rural
